fid,SiteID,Name,Type,Type_Code,Phase,Latitude,Longitude,HubDist,TRI,Slope,VDCN,TWI,DEM
89,89,ZhouShangCunⅡHao,Mound,0,Phase 2; Phase 3,27.920722,116.863778,422.7694981,23.36664,16.30727,241,5.02974,241
90,90,ShiKeng,Mound,0,Phase 2; Phase 3,27.906222,116.871083,367.0323374,0,0,111,15.81907,111
91,91,MengJiaShan,Mound,0,Phase 2; Phase 3,27.800972,116.740861,457.0950711,11.53256,8.84251,85,5.43897,85
92,92,TongQianShan,Mound,0,Phase 3,27.808083,116.722389,276.7883936,2,0.75489,65,6.20106,65
93,93,JiuCaiGang,Mound,0,Phase 2; Phase 3,27.839111,116.753444,1053.252785,6.48074,4.78729,85,8.3135,85
94,94,ZhengJiaShan,Mound,0,Phase 2,27.772306,116.670889,716.7697877,7.4162,5.72043,68,5.35219,68
95,95,HuangShan,Mound,0,Phase 3,27.775167,116.671083,832.9333563,3.60555,2.69895,66,6.74618,66
96,96,HuangNiTang,Mound,0,Phase 2; Phase 3,27.773806,116.671778,837.3013513,7.93725,5.72043,71,5.24683,71
97,97,JiuHeShan,Mound,0,Phase 2,27.777472,116.671861,1039.627688,10.86278,6.49257,74,5.15228,74
98,98,PaoMaChang,Mound,0,Phase 2; Phase 3,27.7745,116.672111,893.7108635,2.44949,0.75489,66,12.55197,66
99,99,ManLu,Mound,0,Phase 3,27.772556,116.678222,1439.055048,2.44949,0.95484,72,6.08784,72
100,100,ZhaoJiaXie,Mound,0,Phase 2; Phase 3,27.945083,116.711944,61.65870068,13.34166,9.50866,70,6.41667,70
101,101,MoTouGang,Mound,0,Phase 1; Phase 3,28.0345,116.640417,274.7155514,5.09902,3.64697,47,16.65003,47
102,102,MoPanShan,Mound,0,Phase 2,27.955611,116.688,205.687062,8.544,4.85753,69,8.17092,69
103,103,ZhiQingZhuanChang,Mound,0,Phase 2,27.925556,116.755,993.5395594,3.31662,1.39176,86,8.82624,86
104,104,DaKeShan,Mound,0,Phase 2,27.972278,116.825444,602.1248606,13.11488,9.69727,102,5.87637,102
